Verb,Transport,Construction_type,Normal_form,Prefix,Tense,Aspect,Number,Full_context,Sent_length,Author,Header,Created
идет,поездом,INS,идти,no,pres,impf,sing,Посылка идет поездом. ,3,Вениамин Смехов,Театр моей памяти,2001
едут,поездом,INS,ехать,no,pres,impf,sing,"Некоторые студенты за два дня до праздника выезжают на поезде (« зайцами», прячась в вагонах-ресторанах и в тамбурах от проводников) в Пинежские карстовые пещеры  ( день едут поездом и еще день ― на лыжах). ",34,Максим Хуторной,Что подарить на 200 рублей?,2001
ехали,поездом,INS,ехать,no,past,impf,sing,"Я заметил ее, когда мы ехали поездом из Москвы. ",9,Самуил Алешин,Встречи на грешной земле,2001
Едем,поездом,INS,ехать,no,pres,impf,sing,нас с Наташей вообще впервые. Едем поездом. ,7,Сергей Юрский,Вспышки. Заключительная глава книги,2001
уезжала,поездом,INS,уезжать,yes,past,impf,sing,"Наутро она уезжала поездом, и он проводил ее на вокзал. ",10,Татьяна Набатникова,День рождения кошки,2001
добрались,поездом,INS,добраться,yes,past,perf,sing,"Мы добрались поездом до Мукачева, на границе пересели на автобусы и поехали через Венгрию. ",14,Армен Медведев,Территория кино,1999
выезжаете,поездом,INS,выезжать,yes,pres,impf,sing,Через два дня вечером вы выезжаете поездом в Рим. ,9,Владимир Голяховский,Русский доктор в Америке,1984
ехали,поездом,INS,ехать,no,past,impf,sing,"Наши « старики» ехали поездом через Негорелое, а все остальные до Ленинграда, потом морем до Гавра и оттуда спецпоездом в Париж.   ",21,Софья Пилявская,Грустная книга,2000
ехали,поездом,INS,ехать,no,past,impf,sing,"Остальные ехали поездом, и их встречали в Москве. ",8,Софья Пилявская,Грустная книга,2000
выехали,поездом,INS,выехать,yes,past,perf,sing,"Меня освободили от спектаклей, и на следующий день мы с Вадимом выехали поездом. ",13,Софья Пилявская,Грустная книга,2000
приехали,поездом,INS,приехать,yes,past,perf,sing,"13- го авг. приехали поездом в Вильнюс, сняли комнату и пошли бродить по городу.   ",14,Дмитрий Каралис,Автопортрет,1999
Ехал,поездом,INS,ехать,no,past,impf,sing,"Ехал поездом, машинами, расспрашивал встречных и нашел штаб армии. ",9,Николай Амосов,Голоса времен,1999
ехали,поездом,INS,ехать,no,past,impf,sing,"На этот раз мы ехали поездом в заграничном неудобном вагоне, где спят в три яруса. ",15,Николай Амосов,Голоса времен,1999
Едем,поездом,INS,ехать,no,pres,impf,sing,"Едем поездом из Токио в Осаку, договорились в дороге снимать, как и что ― оговорили еще в отеле. ",18,Василий Катанян,Прикосновение к идолам,1998
уезжал,поездом,INS,уезжать,yes,past,impf,sing,"Брежнев уезжал поездом в Баку, где должен был вручить городу орден Ленина и произнести речь, подобающую этому торжественному случаю. ",19,Олег Гриневский,Восток ― дело тонкое,1998
ехали,поездом,INS,ехать,no,past,impf,sing,"В Кишиневе у меня вдруг поднялась температура, и Борис настоял, чтобы мы не летели, а ехали поездом. ",17,Татьяна Окуневская,Татьянин день,1998
