Verb,Transport,Construction_type,Normal_form,Prefix,Tense,Aspect,Number,Full_context,Sent_length,Author,Header,Created
отбыли,поездом,INS,отбыть,yes,past,perf,sing,Днем 14 ноября с Харбинского вокзала мы отбыли поездом на Родину.   ,11,священник В. Разумовский,Патриаршая делегация в Харбине,1945
ехали,поездом,INS,ехать,no,past,impf,sing,"Мы ехали поездом особого назначения, ― сказал я. ",8,Р. В. Иванов-Разумник,Тюрьмы и ссылки,1934
ехали,поездом,INS,ехать,no,past,impf,sing,"До Смоленска ехали поездом, а оттуда более 100 верст ехали на лошадях. ",12,А. В. Левицкая,Воспоминания,1943
Ехал,поездом,INS,ехать,no,past,impf,sing,"недалеко, а второй из-под Варшавы). Ехал поездом, в угольных вагонах ( я, говорит, потом счет Гитлеру за проезд пошлю). ",19,Л. К. Бронтман,Дневники и письма,1932
ехали,поездом,INS,ехать,no,past,impf,sing,Долго ехали поездом. ,3,В. И. Мухина,Воспоминания Веры Мухиной,1939
Доехали,поездом,INS,доехать,yes,past,perf,sing,"приятель, студент Речкин, и я. Доехали поездом до Ельца, а оттуда 40 верст пешком. ",14,"Т. Манухина (литературная запись), митрополит Евлогий (Георгиевский)",Путь моей жизни,1935
проехали,поездом,INS,проехать,yes,past,perf,sing,"Девятьсот километров проехали поездом до города Горького, в Горьком дня четыре гуляли, побывали в Балахне, на автомобильном заводе, по городу сделали маршей не меньше, как километров на сорок. ",28,А. С. Макаренко,Случай в походе,1937
выехали,поездом,INS,выехать,yes,past,perf,sing,Наутро мы выехали поездом в Сан- Диэго по санта- фейской железной дороге.   ,12,"Евгений Петров, Илья Ильф",Одноэтажная Америка,1936
едете,поездом,INS,ехать,no,pres,impf,sing,Ведь вы же едете поездом.   ,5,Н. А. Островский,Рожденные бурей,1934
еду,поездом,INS,ехать,no,pres,impf,sing,"Погода мерзкая, а дальше ждать нельзя: еду поездом.   ",8,М. С. Бабушкин,Восьмой раз на «зверобойке» (дневник),1935
прибыл,поездом,INS,прибыть,yes,past,perf,sing,"Полковник взволнованно и заикаясь стал объяснять, что только что прибыл поездом с Южного фронта.   ",14,В. П. Аничков,Екатеринбург – Владивосток (1917-1922),1934
отправились,поездом,INS,отправиться,yes,past,perf,sing,"Из Нового Буга отправились поездом до Николаева, там пересаживались на пароход. ",11,Л. Д. Троцкий,Моя жизнь,1929
едем,поездом,INS,ехать,no,pres,impf,sing,Из Токсова едем поездом в Ленинград; сообщение редкое ( поезд курсирует только 4 раза в сутки).   ,16,"В. Н. Клычин, Н. Х. Виленская",На лыжах по окрестностям Ленинграда,1930
едем,поездом,INS,ехать,no,pres,impf,sing,От Вырицы до Ленинграда едем поездом.   ,6,"В. Н. Клычин, Н. Х. Виленская",На лыжах по окрестностям Ленинграда,1930
отправились,поездом,INS,отправиться,yes,past,perf,sing,"Вернулись опять на станцию Аральское Море и, поблагодарив хозяев парохода за гостеприимство, отправились поездом в Ташкент.   ",16,А. А. Татищев,Земли и люди: В гуще переселенческого движения (1906-1921),1928
ехали,поездом,INS,ехать,no,past,impf,sing,"В прежние годы ехали поездом да станции Чарджуй и оттуда поднимались по Амударье пароходами, но рейсы последних были не слишком регулярны. ",21,А. А. Татищев,Земли и люди: В гуще переселенческого движения (1906-1921),1928
поехали,поездом,INS,поехать,yes,past,perf,sing,"Поэтому мы с Понятовским поехали поездом до станции Каган, в семи верстах от старой Бухары, где я провел вечер у нашего политического агента, а на следующий день в маленьком служебном вагоне, приспособленном из товарного, покатил с маневровым локомотивчиком через степи центральной Бухары, где, кроме стад каракулевых баранов, не встречалось ничего. ",50,А. А. Татищев,Земли и люди: В гуще переселенческого движения (1906-1921),1928
увозят,поездами,INS,увозить,yes,pres,impf,plur,"Написала про немцев, что они устроили в городском саду военную музыку и велят подметать улицы, а хлеб, масло, яйца увозят поездами в Германию… ",23,А. Н. Толстой,Хождение по мукам/ Книга вторая. Восемнадцатый год,1928
Ехали,поездами,INS,ехать,no,past,impf,plur,"Ушли солдаты с фронта. Ехали поездами, на поездах, под поездами. ",10,В. Б. Шкловский,Сентиментальное путешествие,1923
уехала,поездами,INS,уехать,yes,past,perf,plur,"Но перед самым рассветом проскакал мимо казак и сказал, что надо уходить, так как большевики входят в город, что большая часть войск уехала поездами, а по шоссе отходят артиллерия и казаки, но их очень мало.   ",35,Татьяна Варнек,Воспоминания сестры милосердия,1912
проехал,поездом,INS,проехать,yes,past,perf,sing,"Я проехал поездом до станции Узловой, далее путь оказался неисправным и я продолжал путешествие на автомобиле. ",16,П. Н. Врангель,Записки,1916
выехал,поездом,INS,выехать,yes,past,perf,sing,"В пять часов вечера я выехал поездом в Ново- Алексеевку, несколько часов тому назад занятую кубанцами. ",16,П. Н. Врангель,Записки,1916
проехал,поездом,INS,проехать,yes,past,perf,sing,"10- го июня я проехал поездом в расположение 2- го армейского корпуса, где в колонии Гальбштадт и Большом Токмаке смотрели части 13- ой и 34- ой дивизий. ",27,П. Н. Врангель,Записки,1916
вернулся,поездом,INS,вернуться,no,past,perf,sing,Зуев по делам уехал в Луганск и в роковой вечер вернулся поездом около 6 часов обратно в Красновку. ,18,неизвестный,Нападение разбойников,1916
отправились,поездом,INS,отправиться,yes,past,perf,sing,В 3 часа отправились поездом в Красное Село. ,8,Николай II,Дневники,1913
Вернулся,поездом,INS,вернуться,no,past,perf,sing,там нового за последние года. Вернулся поездом из Ораниенбаума в 5 1/ 4. ,13,Николай II,Дневники,1913
переезжало,поездом,INS,переезжать,yes,past,impf,sing,"Видишь ли, ― раздраженно ответил я, ― на моих глазах людей переезжало поездом, однако я никогда не утешался этим, когда мне наступали на ногу…   ",24,А. С. Бухов,Первый опыт,1915
доеду,поездом,INS,доехать,yes,futr,perf,sing,"Если не доеду поездом ― говорила она, ― пешком в самую Сербию проберусь»… ",13,,Бежали на войну,1914
сопровождал,поездом,INS,сопровождать,yes,past,impf,sing,"Конвой сопровождал поездом партию арестантов, со ст. ",7,,Вести,1913
уехал,поездом,INS,уехать,yes,past,perf,sing,"Мы вчетвером поехали его провожать, но не проводили, потому что он уехал поездом раньше. ",14,М. И. Цветаева,Письма М. А. Волошину,1911
выехали,поездом,INS,выехать,yes,past,perf,sing,"Переночевав у помещика, путешественники выехали поездом в Берлин.   ",8,неизвестный,Вести,1907
выехали,поездом,INS,выехать,yes,past,perf,sing,"Из Тулы они выехали поездом, отходившим в час ночи и прибывавшим в Москву в восемь утра.   ",16,Н. Э. Гейнце,Герой конца века,1898
отправился,поездом,INS,отправиться,yes,past,perf,sing,"Дело в том, что если бы он отправился поездом, то приехал бы в Роттердам заблаговременно и застал бы отходящий вечерний поезд в Антверпен, поехав же на пароходе, он приехал в Роттердам в одиннадцать часов ночи, после отхода всех поездов в Бельгию, и ему пришлось ночевать.   ",45,Н. Э. Гейнце,Герой конца века,1898
уехал,поездом,INS,уехать,yes,past,perf,sing,"Он уехал поездом в свою контору, но вернется задолго до обеда. . Кенелм Чиллингли, его приключения и взгляды на жизнь (1873)]",21,Е. Ахматова [перевод романа Э. Булвер-Литтона с английского],"Кенелм Чиллингли, его приключения и взгляды на жизнь",1873
летим,самолётом,INS,лететь,no,pres,impf,sing,"А мы- то, когда гости спрашивали, почему не летим самолётом, расписывали прелести нашего знаменитого поезда!  ",15,Сати Спивакова,Не всё,2002
летела,самолётом,INS,лететь,no,past,impf,sing,Этот полёт был для меня тоже своего рода дебютом ― я впервые летела самолётом. ,14,И. К. Архипова,Музыка жизни,1996
летают,самолетами,INS,летать,no,pres,impf,plur,"д. сеть и вовсе утратила всякую связность, на заброшенных вокзалах царит запустение, янки летают самолетами или мчатся по хайвеям, низшие классы пользуются автобусным сообщением ― все как у нас и даже нагляднее и резче, и притом никто особенно не страдает. ",40,Максим Соколов,Девять вокзалов,2015
полетите,самолетом,INS,полететь,yes,futr,perf,sing,В Москву полетите самолетом. ,4,Сергей Носов,Фигурные скобки,2015
летал,самолетами,INS,летать,no,past,impf,plur,"Так, следствие считает, что экс- банкир бесплатно летал самолетами клиентов банка, а также украл 103 тыс. долл. у священников одной из церквей во Флориде. ",24,Татьяна Глазкова,Воровал даже у священников,2010
вернулись,самолетом,INS,вернуться,no,past,perf,sing,"Жаркий летний день 26 июля 1946 года, когда мощи мучеников вернулись самолетом из Москвы, где пребывали с 1915 года, в Литву, восьмилетний Ваня на всю свою жизнь запечатлел в сердце. ",30,Г. Малашин,Нива благодатная. К 70-летию архиепископа Красноярского и Енисейского Антония,2010
долетели,самолетом,INS,долететь,yes,past,perf,sing,Мы в свою очередь долетели самолетом. ,6,Игорь Волгин,По долинам и по взгорьям,2009
летели,самолетом,INS,лететь,no,past,impf,sing,"Мы летели самолетом, но он потерпел аварию, и мы сели в Орлеане.   ",12,Чингиз Абдуллаев,Мистерия эпохи заката,2007
долетел,самолетом,INS,долететь,yes,past,perf,sing,"Итак, я долетел самолетом « Аэрофлота» до Гаваны. ",8,В. В. Овчинников,Своими глазами,2006
Добираешься,самолетом,INS,добираться,yes,pres,impf,sing,Это правильно? Добираешься самолетом?    ,4,Виктор Пронин,Банда 8,2005
лечу,самолетом,INS,лететь,no,pres,impf,sing,Потом лечу самолетом в Киев. ,5,Лидия Вертинская,Синяя птица любви,2004
прилетел,самолетом,INS,прилететь,yes,past,perf,sing,Только что прилетел самолетом из Риги. ,6,Лидия Вертинская,Синяя птица любви,2004
летал,самолетом,INS,летать,no,past,impf,sing,Лишь однажды в жизни он летал самолетом ― для съемок фильма « Князь Игорь»).   ,14,Александр Избицер,«...но с благодарностию: были»,2003
прислал,самолетом,INS,прислать,yes,past,perf,sing,"Они примирились после недавней ссоры: Роми была обижена на Алена за то, что из-за съемок он не присутствовал на праздновании ее дня рождения, хотя прислал самолетом подарок, на поиски которого ушло пять дней, ― старинную клеманку XIII века.   ",38,Бернар Виоле,Тайны Делона,2003
добираются,самолетами,INS,добираться,yes,pres,impf,plur,"В Питер чаще всего добираются самолетами ( в аэропорт Пулково, который ― внимание!  ",13,Владислав Шулаев,Увидеть Санкт-Петербург и начать жить,2003
возили,самолетами,INS,возить,no,past,impf,plur,"Впрочем, несмотря на « бездорожье», времена сейчас не самые тяжелые ― был период, когда топливо возили самолетами, теперь энергоресурсы из России все же благополучно добираются по трубопроводам.   ",27,Екатерина Григорьева,Ожидания Ноя. Армения выбирает между Россией и остальным миром,2003
летели,самолетами,INS,лететь,no,past,impf,plur,"Гости летели самолетами, ехали поездами, спешили на встречу с юностью, со школой, которую покинули 50, 40, 30 лет назад.   ",19,Елена Гиль,Свидание с юностью,2003
полечу,самолетом,INS,полечить,yes,futr,perf,sing,"Я полечу самолетом, ― ответил я. ",6,Надежда Трофимова,Третье желание,2003
завозили,самолетами,INS,завозить,yes,past,perf,plur,"А в целом стратегия такова: если в первую зиму было важно не допустить чрезвычайных ситуаций, чтобы к нам больше не завозили самолетами батареи, то перед минувшей зимой стояла задача ― провести реконструкцию изношенных коммунальных сетей, сократить издержки производства. ",38,Ольга Журман,"В Приморье тепло. И зимой, и летом",2003
везли,самолетом,INS,везти,no,past,impf,sing,"Некоторых удачливых перестройщиков это так впечатлило, что они, дабы переплюнуть коммунистическую роскошь, везли самолетом свой любимый джип на такие стрельбища ( как пароходом из Парижа хлестаковский суп)… ",27,Ольга Новикова,"Мне страшно, или Третий роман",2003
доставили,самолетом,INS,доставить,yes,past,perf,sing,"Они не на паром спешили, грузовичок свернет сейчас вправо и покатит к Калининграду, Гюнтера надо привезти туда, куда его доставили самолетом. ",21,Анатолий Азольский,Диверсант,2002
отправится,самолетом,INS,отправиться,yes,futr,perf,sing,Из Москвы 300- килограммовая « Богоматерь» отправится самолетом в Тбилиси 10 августа.   ,12,Антон Елин,"Это Казбек, мама",2002
летела,самолетом,INS,лететь,no,past,impf,sing,"Марджерит летела самолетом до Ниццы, а оттуда до Монако добиралась автобусом. ",11,Владимир Маккавеев,Последняя гонка Лоренцино,2002
летала,самолетом,INS,летать,no,past,impf,sing,"Помню, как я снимаясь в своем первом фильме « Жизнь прошла мимо», летала самолетом из Москвы в Ростов-на-Дону и однажды запуталась от напряжения и усталости, не могла вспомнить, где же я, в Ростове или Москве, и что мне играть ― спектакль или фильм. ",43,Елена Яковлева,Уходящая натура. Исторические хроники: 4-10 июня,2002
отправится,самолетом,INS,отправиться,yes,futr,perf,sing,"Однако те, кто думал, что из Владивостока писатель отправится самолетом в Москву, ошиблись. ",13,Рой Медведев,Возвращение Солженицына,2002
перелетали,самолетом,INS,перелетать,yes,past,impf,sing,"Ему- то было терять нечего: на тех участках, где они перелетали самолетом, он всегда был в выигрыше ― у него в группах обязательно по девять человек, причем он всегда девятый. ",30,Федор Павлов-Андреевич,Бег,2002
летит,самолетом,INS,лететь,no,pres,impf,sing,"Сначала он летит самолетом в « Шереметьево», затем его доставляют на склад. ",12,,Нелегалам присылают по почте паспорта на предъявителя,2002
летел,самолетом,INS,лететь,no,past,impf,sing,"Знаете, я однажды летел самолетом Красноярск ― Мурманск. ",8,Анатолий Трушкин,208 избранных страниц,1990
завезли,самолетом,INS,завезти,yes,past,perf,sing,"Мы не знали, что к нашим соседям по случаю праздника завезли самолетом из Игарки десять ящиков спирта. ",17,Александр Городницкий,«И жить еще надежде»,2001
летели,самолетом,INS,лететь,no,past,impf,sing,Другие сопровождающие летели самолетом заранее.   ,5,Александр Яковлев,Омут памяти. Т.1,2001
Полетели,самолетом,INS,полететь,yes,past,perf,sing,"Полетели самолетом Министерства обороны, который вез туда еще семьдесят связисток, которые должны были заниматься спецсвязью между Москвой и нашими военными в Праге. ",22,Александр Яковлев,Омут памяти. Т.1,2001
летели,самолетом,INS,лететь,no,past,impf,sing,"До Франкфурта мы с Юрием летели самолетом, а там нас должен был встретить представитель фирмы « Домино» Матти Гешонек, сын Ирвина Гешонека, очень известного в прошлом актера из ГДР ( тогда стена между ФРГ и ГДР еще стояла нерушимо).   ",39,Алла Сурикова,Любовь со второго взгляда,2001
Летали,самолетом,INS,летать,no,past,impf,sing,"Летали кони, взрывы, шпаги, пыль. Летали самолетом мушкетеры.  ",8,Вениамин Смехов,Театр моей памяти,2001
возят,самолетами,INS,возить,no,pres,impf,plur,"До ближайшего города 350 км, почту, как на остров, возят самолетами. ",11,Николай Климонтович,Далее ― везде,2001
летает,самолетами,INS,летать,no,pres,impf,plur,"Все, кто летает самолетами, кровно заинтересованы в том, чтобы подобное не повторилось. ",12,Ольга Божьева,"Что делать, чтобы не искать, кто виноват",2001
летают,самолетами,INS,летать,no,pres,impf,plur,Наши граждане опять активно летают самолетами   ,6,Тимур Хикматов,Богатеем на глазах. Наши граждане опять активно летают самолетами,2001
отправим,самолетом,INS,отправить,yes,futr,perf,sing,"Мы вас завтра же отправим самолетом в Нюрнберг, а потом обратно в Киль.   ",13,Борис Ефимов,Десять десятилетий,2000
летели,самолетами,INS,лететь,no,past,impf,plur,В Австралию участники летели самолетами. ,5,Евгений Рубин,Пан или пропал. Жизнеописание,1999
летал,самолетом,INS,летать,no,past,impf,sing,"Нам он потом по секрету сообщал, что летал самолетом местного рейса на свидание. ",13,Евгений Рубин,Пан или пропал. Жизнеописание,1999
Завозят,самолетами,INS,завозить,yes,futr,perf,plur,Наука. Завозят самолетами. ,3,Евгений Попов,Одеяло Сун Ятсена,1970
прилетела,самолетом,INS,прилететь,yes,past,perf,sing,"Но в Пярну шли дожди, все мне показалось там угнетающим, и я на другой же день по приезде неожиданно для самой себя снялась с места и прилетела самолетом в Москву.   ",30,Зоя Масленикова,Близкие Бориса Пастернака,1968
летал,самолетами,INS,летать,no,past,impf,plur,"Он вообще не пил и никогда не летал самолетами, жизнь свою доверял только поезду и автомобилю, хотя статистика свидетельствует, что железнодорожные катастрофы и автотранспорт уносят куда больше человеческих жизней. ",29,Г. Я. Бакланов,"Жизнь, подаренная дважды",1999
летели,самолетом,INS,лететь,no,past,impf,sing,Во второй свой приезд мы уже летели самолетом до Рима и оттуда добирались несколько часов на машине.   ,17,Муслим Магомаев,Любовь моя ― мелодия,1999
прилетали,самолетами,INS,прилетать,yes,past,impf,plur,"Ведь на парижские спектакли, не понимая русского, прилетали самолетами из Милана, Лондона, Нью-Йорка.   ",13,Андрей Вознесенский,На виртуальном ветру,1998
летела,самолетом,INS,лететь,no,past,impf,sing,"Делегация летела самолетом, но у Заболоцкого было больное сердце, и ему запретили. ",12,Константин Ваншенкин,Писательский клуб,1998
летела,самолетом,INS,лететь,no,past,impf,sing,"Только я летела самолетом, а он ехал в товарном вагоне, и когда распахнули двери вагона и он увидел меня, растолкал всех коней и собрался прыгнуть без трапа на землю, а когда я ему запретила, бесился, укоризненно глядя на меня, первым соскочил с трапа и сбил меня с ног.   ",48,Татьяна Окуневская,Татьянин день,1998
доставили,самолетом,INS,доставить,yes,past,perf,sing,"Я русская румынка, меня зовут Беатриче, по-русски Нина, мне 21 год, меня сюда доставили самолетом из Бухареста, и фрау Мюллер тоже самолетом, и Нэди тоже самолетом из Праги, а вас?    ",30,Татьяна Окуневская,Татьянин день,1998
доставили,самолетом,INS,доставить,yes,past,perf,sing,"Вводят несчастную пожилую еврейку, откуда-то из местечка под Куйбышевом, доставили самолетом, она совсем растеряна, полужива, ее обвиняют в сионизме, она не знает, что это такое, и я тоже не знаю: ее двоюродный брат, которому сейчас под восемьдесят лет и который родился в Америке, нашел все-таки свою русскую родню и появился у этой женщины после войны один раз, и вот теперь ее терзают, обвиняя ",63,Татьяна Окуневская,Татьянин день,1998
отправился,самолетом,INS,отправиться,yes,past,perf,sing,Рано утром отправился самолетом в Тегеран. ,6,Валентин Бережков,Рядом со Сталиным,1971
летают,самолетами,INS,летать,no,pres,impf,plur,Средние» китайцы летают самолетами. ,4,"Александр Сухотин, Рустам Арифджанов",Москва Китайская,1997
отправил,самолетом,INS,отправить,yes,past,perf,sing,"Моурин и детей он отправил самолетом, вторую машину сначала хотел отправить трейлером, а потом решил попросить доехать до Восточного побережья меня. ",21,Вячеслав Фетисов,Овертайм,1997
отправляли,самолетом,INS,отправлять,yes,past,impf,sing,"Доставленных на аэродром людей тут же отправляли самолетом в Черновцы, это было ближе, чем везти их во Львов или Ужгород, и к приезду микроавтобуса с очередной партией охранников маленький "" кукурузник"" успевал вернуться, чтобы забрать следующих. ",36,Александра Маринина,Иллюзия греха,1996
летела,самолетом,INS,лететь,no,past,impf,sing,"Медея в первый раз в жизни летела самолетом, но оказалась совершенно равнодушна к этому событию. ",15,Людмила Улицкая,Медея и ее дети,1996
доставили,самолетом,INS,доставить,yes,past,perf,sing,"Вступив в переговоры с властями, преступник потребовал, чтобы ему передали автомат, ящик водки, закуску и доставили самолетом в Кизляр. ",19,Максим Варывдин,Захват заложников в Сургуте,1996
летает,самолетами,INS,летать,no,pres,impf,plur,"Хорошо ему, ловко устроился, летает самолетами Аэрофлота девять месяцев в году, во Львове наберется, над Волгой пролетая, отольет, в Тюмени примет, а в Комсомольске-на-Амуре все аккуратно, до копейки выложит во что-нибудь фаянсовое, белое, вернет, и снова в форме, в ажуре, на фиг, давай, давай, по новой разливай. ",47,Сергей Солоух,Клуб одиноких сердец унтера Пришибеева,1991
летала,самолетом,INS,летать,no,past,impf,sing,И на работу она летала самолетом ― два раза в неделю. ,11,Ника Босмит (Тим. Собакин),Все не так,1991
прилетает,самолетом,INS,прилетать,yes,pres,impf,sing,"И лишь совсем недавно вновь поднялись над лесом восстановленные купола и кресты, и видны они тем, кто прилетает самолетом в Домодедово.   ",21,Михаил Ефимов,Тропа вокруг Горок,1990
перебросили,самолетом,INS,перебросить,yes,past,perf,sing,Весной 1936 года его вместе с Н. Г. Мехреньгиным налегке перебросили самолетом на остров Домашний ( Северная Земля). ,18,А. Шумилов,Витамин мужества,1987
полетит,самолетом,INS,полететь,yes,futr,perf,sing,"И Вадим подумал, как хорошо его знакомому, который полетит самолетом до Красноярска, там пересядет на другой рейс. ",17,Эдуард Хруцкий,Осень в Сокольниках,1983
пришел,самолетами,INS,прийти,yes,past,perf,plur,"А груз пришел самолетами Ан- 22, т. к. вылеты Ил- 76 запретили. ",12,В. И. Аблазов,Дневник,1981
переправили,самолетом,INS,переправить,yes,past,perf,sing,"Ударили ракетами по вершине, с которой душманы обстреливали войска, забрали раненых, которых потом переправили самолетом Ан- 26 в госпиталь Кабула.   ",20,В. И. Аблазов,Дневник,1980
летит,самолетом,INS,лететь,no,pres,impf,sing,"Из нас, военных « целевиков», большинство впервые летит самолетом Аэрофлота на международной линии. ",13,В. И. Аблазов,Дневник,1979
вывезут,самолетом,INS,вывезти,yes,futr,perf,sing,"Если потребуется, в критический момент меня вывезут самолетом!.. ",8,В. Ф. Кормер,Крот истории или революция в республике S=F,1979
завозили,самолетами,INS,завозить,yes,past,perf,plur,"Раньше, значить, мальков завозили самолетами из моря в море. ",9,Виктор Конецкий,Вчерашние заботы,1979
летел,самолетом,INS,лететь,no,past,impf,sing,Первый раз в жизни с моим сокурсником по студии Ильей Полубаровым я летел самолетом в Одессу. ,16,Юрий Никулин,С чего начинаются клоуны,1979
летал,самолетом,INS,летать,no,past,impf,sing,"К тому же случаются автомобильные и мотоциклетные аварии, хорошо еще, что суеверный матадор не летал самолетом. ",16,Ю. М. Нагибин,Один на один,1972
сбросят,самолетом,INS,сбросить,yes,futr,perf,sing,"По радио сообщили: оставляют на зимовку, продукты сбросят самолетом, собирайте плавник на топливо.   ",13,Н. И. Гаген-Торн,Memoria,1936
ринулся,самолетом,INS,ринуться,no,past,perf,sing,"Он едва дожил до зимних каникул, ринулся ― самолетом ― домой, и они снова ходили по острову, теперь пустынному, белому: он грел ее руки под отворотом шинели. ",27,Борис Черных,Остров Дятлинка,1978
полетят,самолетом,INS,полететь,yes,futr,perf,sing,"Я же принадлежу к тем ненормальным русским людям, которые обязательно полетят самолетом, хотя самолеты на всех континентах только и делают, что падают. ",22,Виктор Конецкий,Начало конца комедии,1978
полечу,самолетом,INS,полететь,yes,futr,perf,sing,"Причем я полечу самолетом не потому, что я опаздываю, и не потому, что некоторые злобные остряки утверждают, будто поездом ездить еще опаснее, нежели самолетом, так как последние якобы падают именно на поезда, пытаясь использовать рельсы вместо запасного аэродрома; нет, я полечу самолетом только потому, что до тошноты лететь не хочу. ",50,Виктор Конецкий,Начало конца комедии,1978
примчалась,самолетом,INS,примчаться,yes,past,perf,sing,"В марте в первый же час возвращения из Ленинграда ― она примчалась самолетом, так извелась по Иринке ― услышала жалобы от обеих. ",22,Ю. В. Трифонов,Другая жизнь,1975
везем,самолетами,INS,везти,no,pres,impf,plur,И мы туда картошку и лук везем самолетами. ,8,Олег Куваев,Территория,1970
отослал,самолетом,INS,отослать,yes,past,perf,sing,Всех остальных касьяшек сельсовет из Плахино отослал самолетом в Енисейский детдом. ,11,Виктор Астафьев,Царь-рыба,1974
летела,самолетом,INS,лететь,no,past,impf,sing,"Почему тебе всегда хочется, чтобы мама летела самолетом?    ",8,Владимир Маканин,Ключарев и Алимушкин,1974
станет,самолетом,INS,стать,no,futr,perf,sing,"Когда подобное ракете судно достигнет расчетной скорости, оно станет самолетом, несущимся на воздушной подушке в нескольких сантиметрах над водой. ",19,обобщенный,Заметки (Вокруг земного шара),1974
Полетим,самолетом,INS,полететь,yes,futr,perf,sing,после короткой паузы пообещал он! Полетим самолетом!  ,7,Владимир Богомолов,Момент истины (В августе сорок четвертого...),1973
летает,самолетами,INS,летать,no,pres,impf,plur,"хранит деньги в сберегательной кассе, летает самолетами Аэрофлота, говорит комплименты, при холодной погоде тепло одевается, принимает лекарства, бросает курить, опять-таки подражает, сочиняет, подозревает…   ",23,Владимир Леви,Искусство быть собой,1973
Увезли,самолетом,INS,увезти,yes,past,perf,sing,Бим встрепенулся: о нем. Увезли самолетом в Москву. ,8,Гавриил Троепольский,Белый Бим черное ухо,1971
привезли,самолетом,INS,привезти,yes,past,perf,sing,"Решили, что старый дом уже стар, вот осенью привезли самолетом новый. ",11,O. М. Куваев,Дом для бродяг,1970
полетит,самолетом,INS,полететь,yes,futr,perf,sing,Он полетит самолетом в пограничный город Брест. ,7,Эдвард Радзинский,Обольститель Колобашкин,1968
отправились,самолетом,INS,отправиться,yes,past,perf,sing,Через день или два они отправились самолетом через Улан-Батор и дальше ― на Москву.   ,14,Константин Симонов,Далеко на востоке (Халхин-гольские записки),1948
улечу,самолетом,INS,улететь,yes,futr,perf,sing,А завтра улечу самолетом.   ,4,Александр Вампилов,Старший сын,1965
прилетел,самолетом,INS,прилететь,yes,past,perf,sing,Геолог Лев Сергеевич Климов прилетел самолетом. ,6,Василий Песков,Белые сны,1964
привезли,самолетом,INS,привезти,yes,past,perf,sing,Поздравляю тебя со всенародным праздником…» Пленку мы привезли самолетом. ,9,Василий Песков,Белые сны,1964
прилетим,самолетом,INS,прилететь,yes,futr,perf,sing,"Мы с Чезаре остаемся, выражаем сожаление хозяину и прилетим самолетом. ",10,И. А. Ефремов,Лезвие бритвы,1959
послал,самолетом,INS,послать,yes,past,perf,sing,"Зурабов сказал, что семьсот строк ― о заполнении озер ― он послал самолетом из Керков, теперь ему нужен некоторый дополнительный материал, для двух следующих очерков. ",25,Юрий Трифонов,Утоление жажды,1959
прилетел,самолетом,INS,прилететь,yes,past,perf,sing,"А родина все тянула его, и вот он не выдержал, прилетел самолетом в Мезень. ",14,Юрий Казаков,Северный дневник,1960
лечу,самолетом,INS,лететь,no,pres,impf,sing,Если установится летная погода ― лечу самолетом».   ,7,Г. Е. Николаева,Битва в пути,1959
летел,самолетом,INS,лететь,no,past,impf,sing,"Во Львов летел самолетом, в Ужгород ездил машиной через Карпаты. ",10,Ю. М. Нагибин,Дневник,1959
Вылетел,самолетом,INS,вылететь,yes,past,perf,sing,"Точен. Вылетел самолетом, товарищ нарком.   ",5,А. А. Бек,Талант (Жизнь Бережкова) / Части 4-6,1940
полетит,самолетом,INS,полететь,yes,futr,perf,sing,"Самолетом Знала бы покойная Туар, что ее Тэгрынэ поедет учиться в Хабаровск Да еще по воздуху полетит, самолетом.   ",18,Юрий Рытхэу,"Тэгрынэ, летит в Хабаровск",1952
прилетел,самолетом,INS,прилететь,yes,past,perf,sing,"Если бы Кох прилетел самолетом, то его ждала такая же мина на шоссе близ аэродрома.   ",15,Д. Н. Медведев,Сильные духом (Это было под Ровно),1948
отправили,самолетом,INS,отправить,yes,past,perf,sing,Мертвую тушу генерала Пиппера гитлеровцы отправили самолетом в Берлин. ,9,Д. Н. Медведев,Сильные духом (Это было под Ровно),1948
